Alpha-Synuclein	B-Device
2	B-Numerical
dilutions	B-Method
for	O
each	O
sample	B-Reagent
to	O
ensure	O
one	B-Numerical
of	O
the	O
dilutions	B-Method
fallswithin	O
the	O
linear	O
range	O
of	O
the	O
standard	O
curve	O
.	O

We	O
recommend	O
a	O
minimum	O
dilution	B-Measure-Type
of	O
1:10	B-Concentration
.	O

Note	O
:	O
Dilution	B-Measure-Type
factors	I-Measure-Type
will	O
vary	O
based	O
on	O
the	O
sample	O
matrix	O
of	O
your	O
experiments	O
.	O

We	O
recommendrunning	B-Action
a	O
subset	O
of	O
your	O
samples	B-Reagent
in	O
the	O
kit	B-Device
to	O
determine	B-Action
optimal	O
dilutions	B-Method
and	O
evaluate	B-Action
any	O
matrixeffects	O
.	O

Failure	O
to	O
do	O
this	O
type	O
of	O
optimization	B-Method
could	O
result	O
in	O
inconclusive	O
data	O
,	O
for	O
which	O
Biolegend	O
isnot	O
responsible	O
.	O

Remove	B-Action
the	O
plate	B-Location
from	O
the	O
foil	B-Location
pouch	I-Location
.	O

Add	B-Action
300	B-Amount
L/well	I-Amount
of	O
1X	B-Concentration
Wash	B-Reagent
Buffer	I-Reagent
.	O

Dump	B-Action
out	I-Action
wash	B-Reagent
buffer	I-Reagent
and	O
pat	B-Action
dry	I-Action
.	O

Repeat	B-Action
3	B-Numerical
more	O
times	O
for	O
a	O
total	O
of	O
4	B-Numerical
washes	B-Action
.	O

Add	B-Action
200	B-Amount
L	I-Amount
of	O
each	B-Reagent
standard	I-Reagent
to	O
the	O
plate	B-Location
in	O
duplicate	O
or	O
triplicate	O
.	O

Follow	B-Action
the	O
plate	B-Location
layout	O
below	O
.	O

Note	O
:	O
The	O
volumes	B-Measure-Type
in	O
Table	O
2	O
are	O
sufficient	O
for	O
running	O
the	O
standard	O
curve	O
in	O
triplicate	O
.	O

Add	B-Action
200	B-Amount
L	I-Amount
of	O
each	O
sample	B-Reagent
dilution	I-Reagent
to	O
the	O
plate	B-Location
.	O

Cover	B-Action
the	O
plate	B-Location
with	O
the	O
plate	B-Seal
sealer	I-Seal
provided	O
.	O

Incubate	B-Action
overnight	B-Time
at	O
2-8oC	B-Temperature
,	O
while	O
shaking	B-Action
.	O

Notes	O
:	O
Allow	B-Action
kit	B-Reagent
components	I-Reagent
to	O
be	O
brought	O
to	O
room	B-Temperature
temperature	I-Temperature
before	O
use	O
.	O

Preparation	B-Method
of	O
Biotinylated	B-Reagent
Primary	I-Reagent
Antibody	I-Reagent
.	O

Label	B-Action
a	O
15mL	B-Amount
centrifuge	B-Location
tube	I-Location
as	O
Biotinylated	B-Reagent
Primary	I-Reagent
Antibody	I-Reagent
.	O

Dilute	B-Action
the	O
biotinylated	B-Reagent
primary	I-Reagent
antibody	I-Reagent
by	O
adding	B-Action
6	B-Amount
L*	I-Amount
of	O
the	O
Biotinylated	B-Reagent
Primaryantibody	I-Reagent
stock	I-Reagent
to	O
6mL	B-Amount
of	O
1X	B-Concentration
Reagent	B-Reagent
Diluent	I-Reagent
in	O
the	O
15mL	B-Amount
tube	B-Location
labeled	O
BiotinylatedPrimary	B-Reagent
Antibody	I-Reagent

Note	O
:	O
A	O
quick	B-Modifier
spin	B-Action
in	O
a	O
centrifuge	B-Device
is	O
suggested	O
prior	O
to	O
pipetting	B-Action
to	O
ensure	B-Action
liquid	B-Reagent
is	O
at	O
the	O
bottom	B-Location
of	O
the	O
vessel	B-Location
.	O

Mix	B-Action
well	B-Modifier
by	O
vortex	B-Method
Remove	B-Action
plate	B-Location
from	O
refrigerator	B-Device
and	O
dump	B-Action
contents	B-Reagent
.	O

Add	B-Action
300	B-Amount
L/well	I-Amount
of	O
1X	B-Concentration
Wash	B-Reagent
Buffer	I-Reagent
.	O

Dump	B-Action
out	I-Action
wash	B-Reagent
buffer	I-Reagent
and	O
pat	B-Action
dry	I-Action
.	O

Repeat	B-Action
3	B-Numerical
more	O
times	O
for	O
a	O
total	O
of	O
4	B-Numerical
washes	B-Action
.	O

Add	B-Action
50	B-Amount
L/well	I-Amount
of	O
the	O
Biotinylated	B-Reagent
Primary	I-Reagent
Antibody	I-Reagent
to	O
the	O
plate	B-Location
(	O
prepared	O
above	O
)	O
.	O

Cover	B-Action
and	O
incubate	B-Action
for	O
2	B-Time
hours	I-Time
at	O
room	B-Temperature
temperature	I-Temperature
.	O

Label	B-Action
a	O
1.5mL	B-Amount
microcentrifuge	B-Location
tube	I-Location
as	O
HRP	B-Reagent
Intermediate	I-Reagent
.	O

Label	B-Action
a	O
50mL	B-Amount
tube	B-Location
as	O
Diluted	B-Reagent
Streptavidin	I-Reagent
HRP	I-Reagent
.	O

Make	O
the	O
HRP	B-Reagent
Intermediate	I-Reagent
by	O
adding	B-Action
10	B-Amount
L*	I-Amount
of	O
Streptavidin-HRP	B-Reagent
stock	I-Reagent
to	O
990	B-Amount
L	I-Amount
of	O
1X	B-Concentration
Reagent	B-Reagent
Diluent	I-Reagent
in	O
the	O
1.5mL	B-Amount
microcentrifuge	B-Location
tube	I-Location
labeled	O
HRP	B-Reagent
Intermediate	I-Reagent
.	O

*Note	O
:	O
A	O
quick	B-Modifier
spin	B-Action
in	O
a	O
centrifuge	B-Device
is	O
suggested	O
prior	O
to	O
pipetting	B-Action
to	O
ensure	B-Action
liquid	B-Reagent
is	O
at	O
the	O
bottom	B-Location
of	O
the	O
vessel	B-Location
.	O

Mix	B-Action
well	B-Modifier
by	O
vortex	B-Method
.	O

Remove	B-Action
150	B-Amount
L	I-Amount
from	O
the	O
HRP	B-Location
Intermediate	I-Location
tube	I-Location
and	O
add	B-Action
to	O
22.35mL	B-Amount
of	O
1X	B-Concentration
Reagent	B-Reagent
Diluentin	I-Reagent
the	O
50mL	B-Amount
tube	B-Location
labeled	O
Diluted	B-Reagent
Streptavidin	I-Reagent
HRP	I-Reagent
.	O

Mix	B-Action
well	B-Modifier
by	O
vortex	B-Method
.	O

Remove	B-Action
plate	B-Location
from	O
incubation	B-Location
and	O
dump	B-Action
contents	B-Reagent
.	O

Add	B-Action
300	B-Amount
L/well	I-Amount
of	O
1X	B-Concentration
Wash	B-Reagent
Buffer	I-Reagent
.	O

Dump	B-Action
out	I-Action
wash	B-Reagent
buffer	I-Reagent
and	O
pat	B-Action
dry	I-Action
.	O

Repeat	B-Action
3	B-Numerical
more	O
times	O
for	O
a	O
total	O
of	O
4	B-Numerical
washes	B-Action
.	O

Add	B-Action
200	B-Amount
L/well	I-Amount
of	O
Diluted	B-Reagent
Streptavidin	I-Reagent
HRP	I-Reagent
to	O
the	O
plate	B-Location
(	O
prepared	B-Action
above	O
)	O
.	O

Cover	B-Action
and	O
incubate	B-Action
for	O
1	B-Time
hour	I-Time
at	O
room	B-Temperature
temperature	I-Temperature
.	O

Remove	B-Action
plate	B-Location
from	O
incubation	B-Location
and	O
dump	B-Action
contents	B-Reagent
.	O

Add	B-Action
300	B-Amount
L/well	I-Amount
of	O
1X	B-Concentration
Wash	B-Reagent
Buffer	I-Reagent
.	O

Dump	B-Action
out	I-Action
wash	B-Reagent
buffer	I-Reagent
and	O
pat	B-Action
dry	I-Action
.	O

Repeat	B-Action
3	B-Numerical
more	O
times	O
for	O
a	O
total	O
of	O
4	B-Numerical
washes	B-Action
.	O

Mix	B-Action
chemiluminescent	B-Reagent
substrates	I-Reagent
for	O
use	O
:	O

Add	B-Action
5.5mL	B-Amount
of	O
substrate	B-Reagent
A	I-Reagent
to	O
a	O
15mL	B-Amount
centrifuge	B-Location
tube	I-Location
.	O

Add	B-Action
5.5mL	B-Amount
of	O
substrate	B-Reagent
B	I-Reagent
to	O
the	O
same	O
15mL	B-Amount
centrifuge	B-Location
tube	I-Location
.	O

Mix	B-Action
well	B-Modifier
by	O
vortex	B-Method
.	O

Add	B-Action
100	B-Amount
L	I-Amount
of	O
mixed	B-Reagent
substrate	I-Reagent
per	O
well	B-Location
.	O

Note	O
:	O
If	O
reading	B-Action
multiple	O
plates	B-Location
add	B-Action
substrate	B-Reagent
one	B-Numerical
plate	B-Location
at	O
a	O
time	O
;	O
do	O
not	O
add	B-Action
substrate	B-Reagent
to	O
all	O
plates	B-Location
atthe	O
same	O
time	O
.	O

Add	B-Action
substrate	B-Reagent
to	O
each	B-Modifier
plate	B-Location
immediately	B-Modifier
before	O
reading	B-Action
.	O

Shake	B-Action
plate	B-Location
on	O
either	O
a	O
plate	B-Device
shaker	I-Device
or	O
using	O
the	O
shaking	B-Method
mechanism	I-Method
within	O
the	O
platereader	O
for	O
10-15seconds	B-Time
.	O

Read	B-Action
plate	B-Location
immediately	B-Modifier
.	O

Note	O
:	O
The	O
recommended	O
luminometer	B-Device
settings	O
are	O
to	O
read	B-Action
at	O
a	O
mid-range	O
sensitivity	B-Measure-Type
level	O
for	O
1	B-Time
secondper	I-Time
well	B-Location
.	O

These	O
settings	O
will	O
vary	O
between	O
plate	B-Device
reader	I-Device
manufacturers	O
,	O
please	O
consult	O
your	O
owner	O
smanual	O
prior	O
to	O
performing	O
this	O
assay	B-Action
See	O
Biolegend.com	O
for	O
additional	O
data	O



