Protocol	B-Method
in	O
steps	B-Method
7-8	I-Method
.	O

Do	B-Action
not	I-Action
touch	I-Action
the	O
top	B-Location
of	O
the	O
filter	B-Device
.	O

Place	B-Action
the	O
filter	B-Device
sample-side	B-Modifier
up	I-Modifier
on	O
a	O
glass	B-Location
slide	I-Location
.	O

Place	B-Action
30	B-Amount
L	I-Amount
of	O
antifade	B-Reagent
on	O
a	O
cover	B-Location
slip	I-Location
;	O
then	O
invert	B-Action
slip	B-Mention
and	O
place	B-Action
on	O
top	B-Location
of	I-Location
the	I-Location
filter	I-Location
.	O

Appy	B-Action
pressure	B-Measure-Type
to	O
ensure	B-Action
that	O
the	O
antifade	B-Reagent
fills	B-Action
the	O
space	O
underneath	B-Location
the	I-Location
square	I-Location
.	O

View	B-Action
with	O
blue	B-Method
excitation	I-Method
.	O

Examine	B-Action
at	B-Modifier
least	I-Modifier
ten	B-Numerical
fields	B-Location
in	O
the	O
microscope	B-Device
(	O
We	O
usually	B-Modifier
examine	B-Action
20	B-Numerical
)	O
.	O

Count	B-Action
at	B-Modifier
least	I-Modifier
200	B-Numerical
viruses	B-Reagent
or	O
bacteria	B-Reagent
total	O
for	O
ten	B-Numerical
fields	O
(	O
400	B-Numerical
for	O
20	B-Numerical
fields	O
)	O
.	O

Field	B-Measure-Type
size	I-Measure-Type
may	O
be	O
full	B-Modifier
(	O
counting	B-Action
all	B-Modifier
particles	B-Reagent
in	O
all	B-Modifier
100	B-Numerical
small	B-Modifier
squares	B-Location
)	O
or	O
smaller	B-Modifier
(	O
e.g	O
.	O
5	B-Numerical
small	B-Modifier
squares	B-Location
)	O
,	O
depending	O
on	O
the	O
virus/bacteria	B-Measure-Type
concentration	I-Measure-Type
.	O

Find	B-Action
the	O
average	B-Reagent
number	I-Reagent
of	O
particles	B-Concentration
per	I-Concentration
quadrant	I-Concentration
(	O
25	B-Numerical
small	B-Modifier
squares	B-Location
)	O
.	O

Multiply	B-Action
this	O
by	O
a	O
scaling	B-Device
factor	I-Device
of	I-Device
1.26	I-Device
x	I-Device
105	I-Device
to	O
get	O
the	O
total	B-Modifier
number	B-Measure-Type
of	I-Measure-Type
particles	I-Measure-Type
on	O
the	O
filter	B-Device
.	O

Divide	B-Action
this	O
by	O
the	O
volume	B-Device
used	I-Device
(	O
e.g	O
.	O
20	B-Amount
L	I-Amount
)	O
to	O
get	O
the	O
titer	B-Measure-Type
in	O
particles	B-Generic-Measure
per	I-Generic-Measure
ml	I-Generic-Measure
.	O



