Protocol	B-Method
as	I-Modifier
it	B-Mention
stays	B-Action
intact	B-Modifier
and	I-Modifier
flat	I-Modifier
.	O

Place	B-Action
the	O
0.02	B-Size
m	I-Size
filter	B-Device
on	B-Location
top	I-Location
of	I-Location
the	I-Location
0.8	I-Location
m	I-Location
filter	I-Location
.	O

Again	O
,	O
make	B-Action
sure	I-Action
it	B-Mention
is	O
flat	B-Modifier
and	I-Modifier
centered	I-Modifier
with	I-Modifier
no	I-Modifier
air	I-Modifier
bubbles	I-Modifier
underneath	I-Modifier
.	O

Turning	B-Action
on	I-Action
the	O
vacuum	B-Device
for	B-Time
a	I-Time
brief	I-Time
while	I-Time
can	O
help	B-Action
achieve	I-Action
this	B-Mention
.	O

Clamp	B-Action
the	O
funnel	B-Device
on	B-Location
top	I-Location
of	I-Location
the	I-Location
filters	I-Location
.	O

Add	B-Action
the	O
sample	B-Reagent
and	O
turn	B-Action
on	I-Action
the	O
pump	B-Device
(	O
pressure	O
should	O
be	O
~20	B-Generic-Measure
kPa	I-Generic-Measure
or	O
7	B-Generic-Measure
mmHg	I-Generic-Measure
)	O
.	O

After	B-Modifier
the	I-Modifier
last	I-Modifier
liquid	B-Reagent
passes	B-Action
through	I-Action
the	O
funnel	B-Device
and	O
clamp	B-Device
should	O
be	O
removed	B-Action
with	O
the	O
vacuum	B-Device
still	B-Modifier
on	I-Modifier
.	O

Turn	B-Action
off	I-Action
the	O
vacuum	B-Device
;	O
remove	B-Action
0.02	B-Size
m	I-Size
filter	B-Device
.	O

Keep	B-Action
track	I-Action
of	O
which	O
side	B-Location
of	O
the	O
filter	B-Device
is	O
the	O
top	B-Location
.	O

Blot	B-Action
out	I-Action
any	B-Modifier
seawater	B-Reagent
on	O
the	O
bottom	B-Location
or	O
the	O
top	B-Modifier
plastic	I-Modifier
rim	B-Location
with	O
a	O
kimwipe	B-Device
.	O

It	O
is	O
very	B-Modifier
important	I-Modifier
to	O
make	B-Action
sure	I-Action
the	O
filters	B-Device
are	O
completely	B-Modifier
dry	I-Modifier
before	I-Modifier
continuing	B-Action
.	O

It	O
is	O
a	O
good	O
idea	O
to	O
rub	B-Action
the	O
back	B-Location
of	O
the	O
filter	B-Device
with	O
a	O
kimwipe	B-Device
and	O
then	O
stick	B-Action
it	B-Mention
in	O
a	O
dessicator	B-Device
(	O
we	O
used	O
a	O
makeshift	B-Modifier
box	B-Device
with	O
some	B-Modifier
drying	B-Device
rocks	I-Device
)	O
for	O
a	O
few	B-Time
minutes	I-Time
.	O

Prepare	B-Action
a	O
100	B-Amount
L	I-Amount
drop	B-Reagent
of	O
SYBR	B-Reagent
,	O
made	B-Modifier
fresh	I-Modifier
from	O
2.5	B-Amount
L	I-Amount
10	B-Concentration
%	I-Concentration
stock	B-Reagent
+	O
97.5	B-Amount
L	I-Amount
0.02	B-Modifier
m	I-Modifier
filtered	I-Modifier
deionized	B-Reagent
water	I-Reagent
,	O
on	B-Location
the	I-Location
bottom	I-Location
of	O
a	O
plastic	B-Modifier
Petri	B-Location
dish	I-Location
.	O

Lay	B-Action
the	O
0.02	B-Numerical
Anodisc	B-Device
filters	I-Device
sample	B-Modifier
side	I-Modifier
up	I-Modifier
on	O
the	O
drops	B-Reagent
of	O
the	O
SYBR	B-Reagent
staining	I-Reagent
solution	I-Reagent
for	O
15	B-Time
minutes	I-Time
in	O
a	O
dark	B-Location
drawer	I-Location
or	O
box	B-Location
.	O

While	B-Modifier
waiting	I-Modifier
it	O
may	O
be	O
a	O
good	O
time	O
to	O
prepare	B-Action
the	O
antifade	B-Reagent
solution	I-Reagent
.	O

Dry	B-Action
completely	B-Modifier
as	O
in	O
steps	O
7-8	O
.	O

Do	B-Action
not	I-Action
touch	I-Action
the	O
top	B-Location
of	O
the	O
filter	B-Device
.	O

Place	B-Action
the	O
filter	B-Device
sample-side	B-Modifier
up	I-Modifier
on	O
a	O
glass	B-Modifier
slide	B-Location
.	O

Place	B-Action
30	B-Amount
L	I-Amount
of	O
antifade	B-Reagent
on	O
a	O
cover	B-Location
slip	I-Location
;	O
then	O
invert	B-Action
slip	B-Location
and	O
place	B-Action
on	O
top	B-Location
of	O
the	O
filter	B-Device
.	O

Appy	B-Action
pressure	I-Action
to	O
ensure	B-Action
that	O
the	O
antifade	B-Reagent
fills	B-Action
the	B-Modifier
space	I-Modifier
underneath	I-Modifier
the	O
square	B-Location
.	O

View	B-Action
with	O
blue	B-Method
excitation	I-Method
.	O

Examine	B-Action
at	B-Modifier
least	I-Modifier
ten	B-Numerical
fields	B-Reagent
in	O
the	O
microscope	B-Device
(	O
We	O
usually	B-Modifier
examine	B-Action
20	B-Numerical
)	O
.	O

Count	B-Action
at	O
least	O
200	B-Numerical
viruses	B-Reagent
or	O
bacteria	B-Reagent
total	O
for	O
ten	B-Numerical
fields	O
(	O
400	B-Numerical
for	O
20	B-Numerical
fields	O
)	O
.	O

Field	B-Measure-Type
size	I-Measure-Type
may	O
be	O
full	B-Modifier
(	O
counting	B-Action
all	B-Modifier
particles	B-Reagent
in	O
all	B-Modifier
100	B-Numerical
small	B-Modifier
squares	B-Location
)	O
or	O
smaller	B-Modifier
(	O
e.g	O
.	O
5	B-Numerical
small	B-Modifier
squares	B-Location
)	O
,	O
depending	B-Modifier
on	I-Modifier
the	O
virus/bacteria	B-Measure-Type
concentration	I-Measure-Type
.	O

Find	B-Action
the	O
average	B-Measure-Type
number	I-Measure-Type
of	I-Measure-Type
particles	I-Measure-Type
per	I-Measure-Type
quadrant	I-Measure-Type
(	O
25	B-Numerical
small	B-Modifier
squares	B-Location
)	O
.	O

Multiply	B-Action
this	O
by	O
a	O
scaling	B-Measure-Type
factor	I-Measure-Type
of	O
1.26	B-Numerical
x	I-Numerical
105	I-Numerical
to	O
get	B-Action
the	O
total	B-Measure-Type
number	I-Measure-Type
of	I-Measure-Type
particles	I-Measure-Type
on	O
the	O
filter	B-Device
.	O

Divide	B-Action
this	O
by	O
the	O
volume	B-Amount
used	B-Modifier
(	O
e.g	O
.	O
20	B-Amount
L	I-Amount
)	O
to	O
get	B-Action
the	O
titer	B-Reagent
in	O
particles	B-Measure-Type
per	I-Measure-Type
ml	I-Measure-Type
.	O



