Stellaris	B-Method
1X	B-Concentration
PBS	B-Reagent
for	O
10	B-Time
minutes	I-Time
,	O
and	O
repeat	B-Action
2	B-Numerical
more	O
times	O
.	O

Add	B-Action
1	B-Amount
mL	I-Amount
of	O
fixation	B-Reagent
buffer	I-Reagent
.	O

Incubate	B-Action
at	O
room	B-Temperature
temperature	I-Temperature
for	O
10	B-Time
minutes	I-Time
.	O

Wash	B-Action
twice	B-Numerical
with	O
1	B-Amount
mL	I-Amount
of	O
1X	B-Concentration
PBS	B-Reagent
.	O

If	O
frozen	B-Modifier
before	O
using	O
,	O
warm	B-Action
the	O
reconstituted	B-Modifier
probe	B-Reagent
solution	I-Reagent
to	O
room	B-Temperature
temperature	I-Temperature
.	O

Mix	B-Action
well	B-Modifier
by	O
vortexing	B-Action
,	O
then	O
centrifuge	B-Action
briefly	B-Modifier
.	O

To	O
prepare	B-Action
the	O
Hybridization	B-Reagent
Buffer	I-Reagent
containing	O
probe	B-Reagent
,	O
add	B-Action
1	B-Amount
L	I-Amount
of	O
probe	B-Reagent
stock	I-Reagent
solution	I-Reagent
to	O
100	B-Amount
L	I-Amount
of	O
Hybridization	B-Reagent
Buffer	I-Reagent
,	O
and	O
then	O
vortex	B-Action
and	O
centrifuge	B-Action
(	O
enough	O
for	O
one	O
coverglass	O
)	O
.	O

This	B-Mention
creates	B-Action
a	O
working	B-Reagent
probe	I-Reagent
solution	I-Reagent
of	O
125	B-Concentration
nM	I-Concentration
.	O

This	O
solution	B-Reagent
will	O
be	O
used	O
on	O
steps	O
20	O
and	O
21	O
.	O

Aspirate	B-Action
the	O
1X	B-Concentration
PBS	B-Reagent
off	O
the	O
coverglass	B-Location
containing	O
adherent	B-Reagent
cells	I-Reagent
within	O
the	O
12-well	B-Location
plate	I-Location
.	O

stellarisAdd	B-Action
1	B-Amount
mL	I-Amount
of	O
Wash	B-Reagent
Buffer	I-Reagent
A	I-Reagent
(	O
see	O
recipe	O
above	O
)	O
,	O
and	O
incubate	B-Action
at	O
room	B-Temperature
temperature	I-Temperature
for	O
2-5	B-Time
minutes	I-Time
.	O

Assemble	B-Action
humidified	B-Location
chamber	I-Location
:	O
150	B-Size
mm	I-Size
tissue	B-Location
culture	I-Location
plate	I-Location
;	O
bottom	B-Action
lined	I-Action
evenly	B-Modifier
with	O
a	O
flat	B-Modifier
water-saturated	I-Modifier
paper	B-Location
towel	I-Location
and	O
a	O
single	B-Numerical
layer	B-Seal
of	I-Seal
Parafilm	I-Seal
placed	B-Action
on	O
top	B-Location
of	O
the	O
paper	B-Location
towel	I-Location
.	O

This	O
chamber	B-Location
will	O
help	O
prevent	B-Action
evaporation	B-Measure-Type
of	O
the	O
probe	B-Reagent
solution	I-Reagent
from	O
under	O
the	O
coverglass	B-Location
.	O

Within	O
the	O
humidified	B-Location
chamber	I-Location
,	O
dispense	B-Action
100	B-Amount
L	I-Amount
of	O
the	O
Hybridization	B-Reagent
Buffer	I-Reagent
containing	O
probe	B-Reagent
onto	O
the	O
Parafilm	B-Seal
.	O

Gently	B-Modifier
transfer	B-Action
the	O
coverglass	B-Location
,	O
cells	B-Modifier
side	I-Modifier
down	I-Modifier
,	O
onto	O
the	O
100	B-Amount
L	I-Amount
drop	B-Reagent
of	O
Hybridization	B-Reagent
Buffer	I-Reagent
containing	O
probe	B-Reagent
.	O

Cover	B-Action
the	O
humidified	B-Location
chamber	I-Location
with	O
the	O
tissue	B-Seal
culture	I-Seal
lid	I-Seal
,	I-Seal
and	O
seal	B-Action
with	O
Parafilm	B-Seal
.	O

Incubate	B-Action
in	O
the	O
dark	B-Location
at	O
37	B-Temperature
C	I-Temperature
for	O
at	B-Modifier
least	I-Modifier
4	B-Time
hours	I-Time
(	O
Incubation	B-Method
can	O
be	O
continued	O
up	B-Modifier
to	I-Modifier
16	B-Time
hours	I-Time
)	O
.	O

Gently	B-Modifier
transfer	B-Action
the	O
coverglass	B-Location
,	O
cells	B-Modifier
side	I-Modifier
up	I-Modifier
,	O
to	O
a	O
fresh	B-Modifier
12-well	B-Location
plate	I-Location
containing	O
1	B-Amount
mL	I-Amount
of	O
Wash	B-Reagent
Buffer	I-Reagent
A	I-Reagent
.	O

Incubate	B-Action
in	O
the	O
dark	O
at	O
37	B-Temperature
C	I-Temperature
for	O
30	B-Time
minutes	I-Time
.	O

Aspirate	B-Action
Wash	B-Reagent
Buffer	I-Reagent
A	I-Reagent
,	O
and	O
then	O
add	B-Action
1	B-Amount
mL	I-Amount
of	O
DAPI	B-Reagent
nuclear	I-Reagent
stain	I-Reagent
(	O
Wash	B-Reagent
Buffer	I-Reagent
A	I-Reagent
consisting	O
of	O
5	B-Concentration
ng/mL	I-Concentration
DAPI	B-Reagent
)	O
to	O
counterstain	B-Action
the	O
nuclei	B-Reagent
.	O

Incubate	B-Action
in	O
the	O
dark	O
at	O
37	B-Temperature
C	I-Temperature
for	O
30	B-Time
minutes	I-Time
.	O

Aspirate	B-Action
the	O
DAPI	B-Reagent
staining	I-Reagent
buffer	I-Reagent
,	O
and	O
then	O
add	B-Action
1	B-Amount
mL	I-Amount
of	O
Wash	B-Reagent
Buffer	I-Reagent
B.	I-Reagent
Incubate	B-Action
at	O
room	B-Temperature
temperature	I-Temperature
for	O
2-5	B-Time
minutes	I-Time
.	O

Add	B-Action
a	O
small	B-Modifier
drop	B-Reagent
(	O
approximately	B-Modifier
15	B-Amount
L	I-Amount
)	O
of	O
Vectashield	B-Reagent
Mounting	I-Reagent
Medium	I-Reagent
onto	O
a	O
microscope	B-Location
slide	I-Location
,	O
and	O
mount	B-Action
coverglass	B-Location
onto	O
the	O
slide	B-Location
,	O
cells	B-Modifier
side	I-Modifier
down	I-Modifier
.	O

Gently	B-Modifier
wick	B-Action
away	I-Action
excess	B-Modifier
anti-fade	B-Reagent
from	O
the	O
perimeter	B-Location
of	O
the	O
coverglass	B-Location
.	O

Seal	B-Action
the	O
coverglass	B-Location
perimeter	I-Location
with	O
clear	B-Modifier
nail	B-Reagent
polish	I-Reagent
,	O
and	O
allow	O
to	O
dry	B-Action
.	O

If	O
necessary	O
,	O
gently	B-Modifier
wipe	B-Action
away	I-Action
any	B-Modifier
dried	I-Modifier
salt	B-Reagent
off	O
the	O
coverglass	B-Location
using	O
water	B-Reagent
.	O

Proceed	B-Action
to	O
Imaging	B-Method
.	O



