OmniPrep	B-Method
using	O
a	O
wide	B-Modifier
bore	I-Modifier
pipette	B-Device
tips	I-Device
and	O
grind	B-Action
with	O
a	O
microcentrifuge	B-Device
pestle	I-Device
.	O

Add	B-Action
1	B-Amount
l	I-Amount
Proteinase	B-Reagent
K	I-Reagent
solution	I-Reagent
for	O
every	O
100	B-Amount
l	I-Amount
Lysis	B-Reagent
Buffer	I-Reagent
and	O
incubate	B-Action
at	O
60	B-Temperature
C	I-Temperature
for	O
1	B-Time
2	I-Time
hours	I-Time
.	O

Invert	B-Action
the	O
tube	B-Location
periodically	B-Modifier
each	B-Time
hour	I-Time
.	O

Allow	O
the	O
sample	B-Reagent
to	O
cool	B-Action
to	O
room	B-Temperature
temperature	I-Temperature
.	I-Temperature

Add	B-Action
200	B-Amount
l	I-Amount
chloroform	B-Reagent
and	O
mix	B-Action
by	O
inverting	B-Action
the	O
tube	B-Location
several	B-Numerical
times	O
.	O

Centrifuge	B-Action
for	O
10	B-Time
minutes	I-Time
at	O
14,000xg	B-Speed
and	O
carefully	B-Modifier
remove	B-Action
the	O
upper	B-Reagent
phase	I-Reagent
to	O
a	O
clean	B-Modifier
microcentrifuge	B-Location
tube	I-Location
.	O

Add	B-Action
50	B-Amount
l	I-Amount
DNA	B-Reagent
Stripping	I-Reagent
Solution	I-Reagent
to	O
the	O
sample	B-Reagent
and	O
invert	B-Action
several	B-Numerical
times	O
to	O
mix	B-Action
.	O

Incubate	B-Action
the	O
sample	B-Reagent
for	O
5	B-Time
10	I-Time
minutes	I-Time
at	O
60	B-Temperature
C	I-Temperature
.	O

Add	B-Action
100	B-Amount
l	I-Amount
Precipitation	B-Reagent
Solution	I-Reagent
and	O
mix	B-Action
by	O
inverting	B-Action
the	O
tube	B-Location
several	B-Numerical
times	O
.	O

A	O
white	B-Modifier
precipitate	B-Reagent
should	O
be	O
produced	O
,	O
if	O
not	O
add	B-Action
50	B-Amount
l	I-Amount
aliquots	B-Reagent
of	O
Precipitation	B-Reagent
Solution	I-Reagent
until	O
a	O
white	B-Modifier
precipitate	B-Reagent
forms	O
.	O

Centrifuge	B-Action
the	O
sample	B-Reagent
at	O
14,000xg	B-Speed
for	O
5	B-Time
minutes	I-Time
.	O

Transfer	B-Action
the	O
supernatant	B-Reagent
to	O
a	O
clean	B-Modifier
tube	B-Location
and	O
precipitate	B-Action
the	O
genomic	B-Reagent
DNA	I-Reagent
with	O
500	B-Amount
l	I-Amount
isopropanol	B-Reagent
.	O

Invert	B-Action
the	O
tubes	B-Location
10	B-Numerical
times	O
to	O
precipitate	B-Action
the	O
DNA	B-Reagent
.	O

Centrifuge	B-Action
at	O
14,000xg	B-Speed
for	O
5	B-Time
minutes	I-Time
to	O
pellet	B-Action
genomic	B-Reagent
DNA	I-Reagent
.	O

Remove	B-Action
the	O
supernatant	B-Reagent
.	O

Add	B-Action
700	B-Amount
l	I-Amount
70	B-Concentration
%	I-Concentration
ethanol	B-Reagent
to	O
the	O
tube	B-Location
and	O
invert	B-Action
several	B-Numerical
times	O
to	O
wash	B-Action
the	O
DNA	B-Reagent
pellet	I-Reagent
.	O

Centrifuge	B-Action
for	O
1	B-Time
minute	I-Time
at	O
14,000xg	B-Speed
.	O

Decant	B-Action
or	O
pipette	B-Action
off	I-Action
the	O
ethanol	B-Reagent
wash	I-Reagent
.	O

Invert	B-Action
the	O
tube	B-Location
on	O
a	O
clean	B-Modifier
absorbent	I-Modifier
surface	B-Location
for	O
several	B-Time
minutes	I-Time
to	O
allow	O
any	O
excess	B-Modifier
ethanol	B-Reagent
to	O
drain	B-Action
away	I-Action
.	O

Do	O
not	O
let	O
the	O
pellet	O
dry	O
completely	O
or	O
it	O
will	O
be	O
difficult	O
to	O
rehydrate	O
.	O

Add	B-Action
50	B-Amount
to	I-Amount
100	I-Amount
l	O
TE	B-Reagent
Buffer	I-Reagent
to	O
the	O
pellet	B-Location
.	O

Incubate	B-Action
at	O
room	B-Temperature
temperature	I-Temperature
for	O
at	B-Modifier
least	I-Modifier
15	B-Time
minutes	I-Time
to	O
rehydrate	B-Action
.	O

Incubating	B-Action
the	O
tube	B-Location
at	O
55	B-Temperature
60	I-Temperature
C	I-Temperature
will	O
speed	O
up	O
rehydration	B-Method
.	O

Incubate	B-Action
for	O
5	B-Time
60	I-Time
minutes	I-Time
.	O

OPTIONAL	O
:	O
Add	B-Action
1	B-Amount
l	O
LongLife	B-Reagent
RNase	I-Reagent
for	O
every	B-Modifier
100	B-Amount
l	I-Amount
TE	B-Reagent
Buffer	I-Reagent
at	O
this	O
stage	O
.	O

Store	B-Action
DNA	B-Reagent
at	O
4	B-Temperature
C	I-Temperature
,	O
for	O
long	O
term	O
storage	O
store	B-Action
at	O
20	B-Temperature
C	I-Temperature
or	O
80	B-Temperature
C	I-Temperature
.	O



