BetaMark	B-Device
duplicate	O
or	O
triplicate	O
.	O

Note	O
:	O
All	O
sample	B-Reagent
matrices	I-Reagent
will	O
perform	B-Action
differently	B-Modifier
in	O
the	O
kit	B-Device
.	O

It	O
is	O
important	O
that	O
you	O
determine	B-Action
the	O
ideal	B-Action
dilution	B-Reagent
for	O
your	O
particular	O
sample	B-Reagent
type	O
.	O

It	O
is	O
good	O
practice	O
to	O
run	B-Action
2-3	B-Numerical
dilutions	B-Reagent
per	O
sample	B-Reagent
to	O
ensure	B-Action
at	B-Modifier
least	I-Modifier
1	B-Time
dilution	I-Time
falls	O
within	O
the	O
range	O
of	O
the	O
standard	O
curve	O
.	O

For	O
most	O
sample	B-Reagent
types	I-Reagent
,	O
a	O
good	O
starting	O
dilution	B-Reagent
would	O
be	O
1:5-1:10.Due	B-Concentration
to	O
the	O
format	O
of	O
the	O
assay	B-Action
,	O
samples	B-Reagent
are	O
not	O
able	O
to	O
run	B-Action
neat	O
.	O

Label	B-Action
a	O
15mL	B-Amount
tube	B-Location
as	O
``	O
Diluted	B-Reagent
HRP	I-Reagent
Detection	B-Method
Antibody	I-Method
``	I-Method
.	O

Add	B-Action
6mL	B-Amount
of	O
1X	B-Concentration
Incubation	B-Reagent
buffer	I-Reagent
to	O
the	O
tube	B-Device
labeled	I-Device
``	I-Device
Diluted	I-Device
HRP	I-Device
Detection	I-Device
Antibody	I-Device
``	I-Device
.	O

Add	B-Action
6uL	B-Amount
of	O
HRP	B-Modifier
Detection	B-Method
Antibody	I-Method
and	O
mix	B-Action
well	B-Modifier
by	O
vortexing	B-Method
Remove	B-Action
plate	B-Location
from	O
foil	B-Location
pouch	I-Location
.	O

Remove	B-Action
extra	B-Location
strip	I-Location
wells	I-Location
if	O
necessary	O
and	O
store	B-Action
in	O
resealable	B-Modifier
foil	B-Location
pouch	I-Location
at	O
2-8	B-Temperature
C	I-Temperature
until	O
use	O
.	O

Add	B-Action
300uL	B-Amount
per	B-Modifier
well	B-Location
of	O
1X	B-Concentration
Wash	B-Reagent
Buffer	I-Reagent
(	O
Prepared	B-Modifier
in	O
step	O
III	O
above	O
)	O
.	O

Dump	B-Action
out	I-Action
wash	B-Reagent
buffer	I-Reagent
and	O
pat	B-Action
dry	I-Action
on	O
paper	B-Location
towels	I-Location
.	O

Add	B-Action
50uL	B-Amount
of	O
each	B-Modifier
prepared	I-Modifier
standard	I-Modifier
to	I-Modifier
the	I-Modifier
plate	I-Modifier
in	I-Modifier
duplicate	I-Modifier
or	O
triplicate	O
.	O

Follow	B-Action
the	O
plate	B-Location
layout	O
outlined	O
inTable	B-Modifier
3	B-Numerical
below	O
.	O

Note	O
:	O
Wells	B-Reagent
E1-E3	I-Reagent
contain	O
the	O
zero	B-Reagent
or	O
blank	B-Reagent
sample	I-Reagent
(	O
Std	O
#	O
8	O
)	O
.	O

Add	B-Action
50uL	B-Amount
of	O
each	B-Modifier
sample	B-Reagent
to	O
the	O
plate	B-Location
in	O
duplicate	O
or	O
triplicate	O
.	O

Add	B-Action
50uL	B-Amount
per	B-Modifier
well	B-Location
of	O
diluted	B-Reagent
HRP	I-Reagent
detection	I-Reagent
antibody	I-Reagent
to	O
all	O
wells	B-Location
.	O

Cover	B-Action
plate	B-Location
with	O
plate	B-Seal
sealer	I-Seal
.	O

Mix	B-Action
the	O
plate	B-Location
gently	B-Modifier
on	O
a	O
plate	B-Device
shaker	I-Device
.	O

Incubate	B-Action
overnight	B-Time
at	O
2-8	B-Temperature
C	I-Temperature
.	O

NOTE	O
:	O
Once	O
diluted	B-Action
with	O
50uL	B-Amount
of	O
diluted	B-Reagent
HRP	I-Reagent
detection	I-Reagent
antibody	I-Reagent
,	O
the	O
final	B-Reagent
standard	I-Reagent
cuve	I-Reagent
concentrations	I-Reagent
will	O
be	O
outlined	O
in	O
Table	O
4	O
.	O

Please	B-Action
use	O
these	O
concentrations	B-Measure_Type
to	O
generate	B-Action
your	O
standard	O
curve	O
.	O

Remove	B-Action
plate	B-Location
from	O
refrigerator	B-Device
and	O
dump	B-Action
contents	B-Reagent
.	O

Wash	B-Action
plate	B-Location
by	O
adding	B-Action
300uL	B-Amount
of	O
1X	B-Concentration
Wash	B-Reagent
Buffer	I-Reagent
per	O
well	B-Location
.	O

Dump	B-Action
out	I-Action
1X	B-Concentration
Wash	B-Reagent
Buffer	I-Reagent
and	O
pat	B-Action
dry	I-Action
.	O

Repeat	B-Action
steps	O
52-53	B-Generic_Measure
4	I-Generic_Measure
more	O
times	O
for	O
a	O
total	O
of	O
5	O
washes	B-Action
.	O

Add	B-Action
200uL	B-Amount
TMB	B-Reagent
subrate	I-Reagent
to	O
each	B-Modifier
well	B-Location
.	O

Read	B-Action
Plate	I-Action
at	O
620nm	B-Generic_Measure
.	O

Go	B-Action
to	O
Biolegend.com	O
for	O
preparation	B-Method
of	O
brain	B-Reagent
samples	I-Reagent
for	O
BetaMark	O
Beta	B-Reagent
Amyloid	I-Reagent
ELISA	I-Reagent
.	O

Incubate	B-Action
40-50	B-Time
minutes	I-Time
at	O
room	B-Temperature
temperature	I-Temperature
in	O
the	O
dark	B-Location
.	O

Note	O
:	O
If	O
running	B-Action
multiple	B-Numerical
plates	B-Location
,	O
stagger	O
the	O
addition	B-Action
of	O
substrate	B-Reagent
so	O
that	O
all	B-Modifier
plates	I-Modifier
are	I-Modifier
n't	I-Modifier
ready	I-Modifier
for	O
reading	B-Action
simultaneously	B-Modifier
.	O



