Stellaris®	B-Method
coverslip	B-Location
.	O

This	O
creates	O
a	O
working	O
probe	B-Reagent
solution	I-Reagent
of	O
125	B-Concentration
nM	I-Concentration
.	O

This	O
solution	B-Reagent
will	O
be	O
used	O
in	O
the	O
steps	O
below	O
.	O

Aspirate	B-Action
the	O
70%	B-Concentration
ethanol	B-Reagent
off	O
the	O
coverglass	B-Location
containing	O
adherent	B-Reagent
cells	I-Reagent
within	O
the	O
12-well	B-Location
plate	I-Location
.	O

Add	B-Action
1	B-Amount
mL	I-Amount
of	O
Wash	B-Reagent
Buffer	I-Reagent
A	I-Reagent
(	O
see	O
recipe	O
in	O
guidelines	O
)	O
,	O
and	O
incubate	B-Action
at	O
room	B-Temperature
temperature	I-Temperature
for	O
2-5	B-Time
minutes	I-Time
.	O

Assemble	B-Action
humidified	B-Modifier
chamber	B-Location
:	O
150	B-Size
mm	I-Size
tissue	B-Location
culture	I-Location
plate	I-Location
;	O
bottom	O
lined	O
evenly	O
with	O
a	O
flat	O
water-saturated	B-Modifier
paper	B-Location
towel	I-Location
and	O
a	O
single	B-Amount
layer	I-Amount
of	O
Parafilm®	B-Seal
placed	B-Action
on	I-Action
top	O
of	O
the	O
paper	B-Location
towel	I-Location
.	I-Location

Within	O
the	O
humidified	B-Modifier
chamber	B-Location
,	O
dispense	B-Action
100	B-Amount
μL	I-Amount
of	O
the	O
Hybridization	B-Reagent
Buffer	I-Reagent
containing	O
probe	B-Reagent
onto	O
the	O
Parafilm	B-Seal
.	O

Gently	O
transfer	B-Action
the	O
coverglass	B-Location
,	O
cells	B-Reagent
side	O
down	O
,	O
onto	O
the	O
100	B-Amount
μL	I-Amount
drop	O
of	O
hybridization	B-Reagent
buffer	I-Reagent
containing	O
probe	B-Reagent
.	O

Cover	B-Action
the	O
humidified	B-Modifier
chamber	B-Location
with	O
the	O
tissue	B-Seal
culture	I-Seal
lid	I-Seal
,	O
and	O
seal	B-Action
with	O
Parafilm	B-Seal
.	O

Incubate	B-Action
in	O
the	O
dark	O
at	O
37	B-Temperature
°C	I-Temperature
for	O
at	O
least	O
4	B-Time
hours	I-Time
.	O

Gently	O
transfer	B-Action
the	O
coverglass	B-Location
,	O
cells	B-Reagent
side	O
up	O
,	O
to	O
a	O
fresh	B-Modifier
12-well	B-Location
plate	I-Location
containing	O
1	B-Amount
mL	I-Amount
of	O
Wash	B-Reagent
Buffer	I-Reagent
A	I-Reagent
.	O

Incubate	B-Action
in	O
the	O
dark	O
at	O
37	B-Temperature
°C	I-Temperature
for	O
30	B-Time
minutes	I-Time
.	O

Aspirate	B-Action
the	O
wash	B-Reagent
buffer	I-Reagent
,	O
and	O
then	O
add	B-Action
1	B-Amount
mL	I-Amount
of	O
DAPI	B-Reagent
nuclear	I-Reagent
stain	I-Reagent
(	O
Wash	B-Reagent
Buffer	I-Reagent
A	I-Reagent
consisting	O
of	O
5	B-Concentration
ng/mL	I-Concentration
DAPI	B-Reagent
)	O
to	O
counterstain	B-Action
the	O
nuclei	B-Reagent
.	O

Incubate	B-Action
in	O
the	O
dark	O
at	O
37	B-Temperature
°C	I-Temperature
for	O
30	B-Time
minutes	I-Time
.	O

Aspirate	B-Action
the	O
DAPI	B-Reagent
staining	I-Reagent
buffer	I-Reagent
,	O
and	O
then	O
add	B-Action
1	B-Amount
mL	I-Amount
of	O
Wash	B-Reagent
Buffer	I-Reagent
B	I-Reagent
.	O

Incubate	B-Action
at	O
room	B-Temperature
temperature	I-Temperature
for	O
2-5	B-Time
minutes	I-Time
.	O

Add	B-Action
a	O
small	B-Amount
drop	I-Amount
(	O
approximately	B-Modifier
15	B-Amount
µL	I-Amount
)	O
of	O
Vectashield	B-Reagent
Mounting	I-Reagent
Medium	I-Reagent
onto	O
a	O
microscope	B-Location
slide	I-Location
,	O
and	O
mount	B-Action
coverglass	B-Location
onto	O
the	O
slide	B-Location
,	O
cells	B-Reagent
side	O
down	O
.	O

Gently	B-Modifier
wick	B-Action
away	I-Action
excess	O
anti-fade	B-Reagent
from	O
the	O
perimeter	O
of	O
the	O
coverglass	B-Location
.	O

Seal	B-Action
the	O
coverglass	B-Location
perimeter	O
with	O
clear	B-Modifier
nail	B-Reagent
polish	I-Reagent
,	O
and	O
allow	O
to	O
dry	B-Action
.	O

If	O
necessary	O
,	O
gently	B-Modifier
wipe	B-Action
away	I-Action
any	O
dried	B-Reagent
salt	I-Reagent
off	O
the	O
coverglass	B-Location
with	O
water	B-Reagent
.	O

Proceed	B-Action
to	O
imaging	B-Action
.	O



